Unit,plot,Plot,Block,Species,Number,potID,uniqID,greenhouseSoil,seedID,quadrat,Quadrat,Soil,Soil2,Competition,Position,Year,Survival,Height,Rosette,nLeaf,nStem,leafDamage,leafLength,leafWidth,Area_week12
TRHO,3,TRHO#3,D,Gv,5,D-Gv-5,TRHO-D-Gv-5,TRHO,147,TL-HS-CA,TL,Home,Old,Absent,A1,2020,1,73.1,0,15,1,1,20.5,11.6,237.8
TRHO,3,TRHO#3,F,Gv,5-B,F-Gv-5-B,TRHO-F-Gv-5-B,TRHO,148,TL-HS-CA,TL,Home,Old,Absent,A2,2020,1,63,0,12,1,1,20.7,6.5,134.55
TRHO,3,TRHO#3,E,Gv,5,E-Gv-5,TRHO-E-Gv-5,TRHO,164,TL-HS-CA,TL,Home,Old,Absent,D4,2020,1,55,0,19,2,1,20.4,12.2,248.88
TRHO,3,TRHO#3,F,Gv,2-B,F-Gv-2-B,TRHO-F-Gv-2-B,TRHO,167,TR-HS-CP,TR,Home,Old,Present,A2,2020,1,42.8,0,21,2,1,24,10.4,249.6
TRHO,3,TRHO#3,A,Gv,2-B,A-Gv-2-B,TRHO-A-Gv-2-B,TRHO,175,TR-HS-CP,TR,Home,Old,Present,B5,2020,1,43.7,0,10,1,0,23.2,9.5,220.4
TRHO,3,TRHO#3,E,Gv,2,E-Gv-2,TRHO-E-Gv-2,TRHO,183,TR-HS-CP,TR,Home,Old,Present,D3,2020,1,19.5,0,11,1,1,23,12.2,280.6
TRHO,4,TRHO#4,C,Gv,1-B,C-Gv-1-B,TRHO-C-Gv-1-B,TRHO,237,TL-HS-CP,TL,Home,Old,Present,D2,2020,1,48.8,0,15,2,1,11.3,16.6,187.58
TRHO,4,TRHO#4,B,Gv,3-B,B-Gv-3-B,TRHO-B-Gv-3-B,TRHO,240,TL-HS-CP,TL,Home,Old,Present,D5,2020,1,69.5,0,9,1,1,5,14.2,71
TRHO,4,TRHO#4,A,Gv,3,A-Gv-3,TRHO-A-Gv-3,TRHO,251,TR-HS-CA,TR,Home,Old,Absent,C3,2020,1,86.5,0,30,3,2,29.3,15.9,465.87
TRHO,4,TRHO#4,A,Gv,5,A-Gv-5,TRHO-A-Gv-5,TRHO,258,TR-HS-CA,TR,Home,Old,Absent,D5,2020,1,66.6,0,20,2,1,16.6,17.3,287.18
TRHO,1,TRHO#1,A,Gv,1-B,A-Gv-1-B,TRHO-A-Gv-1-B,TRHO,44,BL-HS-CA,BL,Home,Old,Absent,A5,2021,1,51.8,0,12,2,2,13.6,16.7,227.12
TRHO,1,TRHO#1,D,Gv,3,D-Gv-3,TRHO-D-Gv-3,TRHO,75,BR-HS-CP,BR,Home,Old,Present,D1,2021,1,54.4,0,7,1,1,27.8,11.9,330.82
TRHO,2,TRHO#2,C,Gv,1,C-Gv-1,TRHO-C-Gv-1,TRHO,130,BL-HS-CP,BL,Home,Old,Present,D4,2021,1,43.1,0,9,1,1,19.5,9.4,183.3
TRHO,2,TRHO#2,G,Gv,5,G-Gv-5,TRHO-G-Gv-5,TRHO,142,BR-HS-CA,BR,Home,Old,Absent,C3,2021,1,57.9,0,10,1,1,19.7,12.4,244.28
TRHO,2,TRHO#2,F,Gv,2,F-Gv-2,TRHO-F-Gv-2,TRHO,145,BR-HS-CA,BR,Home,Old,Absent,D4,2021,1,20.4,0,7,1,1,23.5,11.3,265.55
TRHO,3,TRHO#3,D,Gv,5,D-Gv-5,TRHO-D-Gv-5,TRHO,147,TL-HS-CA,TL,Home,Old,Absent,A1,2021,1,48.5,0,15,2,1,16.2,15.9,257.58
TRHO,3,TRHO#3,F,Gv,5-B,F-Gv-5-B,TRHO-F-Gv-5-B,TRHO,148,TL-HS-CA,TL,Home,Old,Absent,A2,2021,1,58.5,0,10,1,1,21.7,10.1,219.17
TRHO,3,TRHO#3,E,Gv,5,E-Gv-5,TRHO-E-Gv-5,TRHO,164,TL-HS-CA,TL,Home,Old,Absent,D4,2021,1,25.2,0,8,1,1,24.6,11.4,280.44
TRHO,3,TRHO#3,A,Gv,2-B,A-Gv-2-B,TRHO-A-Gv-2-B,TRHO,175,TR-HS-CP,TR,Home,Old,Present,B5,2021,1,62.3,0,12,1,1,28.8,13.3,383.04
TRHO,3,TRHO#3,E,Gv,2,E-Gv-2,TRHO-E-Gv-2,TRHO,183,TR-HS-CP,TR,Home,Old,Present,D3,2021,1,32.4,0,5,1,1,21.6,8.4,181.44
TRHO,4,TRHO#4,A,Gv,3,A-Gv-3,TRHO-A-Gv-3,TRHO,251,TR-HS-CA,TR,Home,Old,Absent,C3,2021,1,57.8,0,14,1,2,23.5,11.7,274.95
TRHO,4,TRHO#4,A,Gv,5,A-Gv-5,TRHO-A-Gv-5,TRHO,258,TR-HS-CA,TR,Home,Old,Absent,D5,2021,1,23.7,0,4,1,2,27.2,13.2,359.04
DANA,1,DANA#1,F,Sa,3,F-Sa-3,DANA-F-Sa-3,DANA,311,TL-HS-CA,TL,Home,Intermediate,Absent,B5,2019,1,39.2,0,56,NA,1,5.4,2.3,12.42
DANA,1,DANA#1,F,Sa,1-B,F-Sa-1-B,DANA-F-Sa-1-B,DANA,313,TL-HS-CA,TL,Home,Intermediate,Absent,C2,2019,1,20.9,0,20,NA,0,6.2,2.6,16.12
DANA,1,DANA#1,B,Sa,5,B-Sa-5,DANA-B-Sa-5,DANA,314,TR-HS-CP,TR,Home,Intermediate,Present,A1,2019,1,38.1,0,23,NA,1,7.6,3,22.8
DANA,1,DANA#1,C,Sa,2,C-Sa-2,DANA-C-Sa-2,DANA,317,TR-HS-CP,TR,Home,Intermediate,Present,A4,2019,1,42.4,0,41,NA,2,5.6,2.6,14.56
DANA,1,DANA#1,B,Sa,5-B,B-Sa-5-B,DANA-B-Sa-5-B,DANA,322,TR-HS-CP,TR,Home,Intermediate,Present,B4,2019,1,30.6,0,23,NA,0,6.6,2.6,17.16
DANA,4,DANA#4,D,Sa,1-B,D-Sa-1-B,DANA-D-Sa-1-B,DANA,370,BL-HS-CP,BL,Home,Intermediate,Present,A1,2019,1,32.6,0,22,NA,0,9.2,2.7,24.84
DANA,4,DANA#4,H,Sa,1-B,H-Sa-1-B,DANA-H-Sa-1-B,DANA,382,BR-HS-CA,BR,Home,Intermediate,Absent,A1,2019,1,12.2,0,26,NA,0,5.9,2,11.8
DANA,4,DANA#4,H,Sa,3,H-Sa-3,DANA-H-Sa-3,DANA,383,BR-HS-CA,BR,Home,Intermediate,Absent,A2,2019,1,31.8,0,20,NA,0,7.2,3,21.6
DANA,4,DANA#4,F,Sa,3-B,F-Sa-3-B,DANA-F-Sa-3-B,DANA,386,BR-HS-CA,BR,Home,Intermediate,Absent,A5,2019,1,47.2,0,33,NA,1,10.5,4.1,43.05
DANA,2,DANA#2,A,Sa,1,A-Sa-1,DANA-A-Sa-1,DANA,401,TL-HS-CP,TL,Home,Intermediate,Present,A1,2019,1,45.7,0,18,NA,0,8.7,3.1,26.97
DANA,2,DANA#2,D,Sa,1,D-Sa-1,DANA-D-Sa-1,DANA,411,TL-HS-CP,TL,Home,Intermediate,Present,C1,2019,1,33.8,0,19,NA,0,9.3,3,27.9
DANA,2,DANA#2,F,Sa,5,F-Sa-5,DANA-F-Sa-5,DANA,416,TR-HS-CA,TR,Home,Intermediate,Absent,A4,2019,1,48.9,0,28,NA,0,7.6,3,22.8
DANA,2,DANA#2,B,Sa,4-B,B-Sa-4-B,DANA-B-Sa-4-B,DANA,419,TR-HS-CA,TR,Home,Intermediate,Absent,B2,2019,1,28.6,0,18,NA,0,10.8,3.5,37.8
DANA,3,DANA#3,F,Sa,2,F-Sa-2,DANA-F-Sa-2,DANA,473,BL-HS-CA,BL,Home,Intermediate,Absent,A5,2019,1,32.2,0,17,NA,0,10.4,3,31.2
DANA,3,DANA#3,F,Sa,1,F-Sa-1,DANA-F-Sa-1,DANA,477,BL-HS-CA,BL,Home,Intermediate,Absent,B4,2019,1,40.9,0,15,NA,0,8.3,3,24.9
DANA,3,DANA#3,C,Sa,4,C-Sa-4,DANA-C-Sa-4,DANA,483,BR-HS-CP,BR,Home,Intermediate,Present,A3,2019,1,61,0,30,NA,0,5.4,2.9,15.66
DANA,1,DANA#1,G,Sa,2,G-Sa-2,DANA-G-Sa-2,DANA,304,TL-HS-CA,TL,Home,Intermediate,Absent,A3,2020,1,23.7,0,10,1,1,18.6,5,93
DANA,1,DANA#1,F,Sa,1-B,F-Sa-1-B,DANA-F-Sa-1-B,DANA,313,TL-HS-CA,TL,Home,Intermediate,Absent,C2,2020,1,28.4,0,52,3,1,15.2,5.1,77.52
DANA,1,DANA#1,G,Sa,2,G-Sa-2,DANA-G-Sa-2,DANA,304,TL-HS-CA,TL,Home,Intermediate,Absent,A3,2021,1,25.5,0,38,3,2,24.9,5.9,146.91
DANA,1,DANA#1,F,Sa,3,F-Sa-3,DANA-F-Sa-3,DANA,311,TL-HS-CA,TL,Home,Intermediate,Absent,B5,2021,1,52.2,0,83,6,1,27.1,7.6,205.96
DANA,1,DANA#1,F,Sa,1-B,F-Sa-1-B,DANA-F-Sa-1-B,DANA,313,TL-HS-CA,TL,Home,Intermediate,Absent,C2,2021,1,73.6,0,80,4,1,25.5,6.5,165.75
DANA,4,DANA#4,H,Sa,3,H-Sa-3,DANA-H-Sa-3,DANA,383,BR-HS-CA,BR,Home,Intermediate,Absent,A2,2021,1,43.8,0,41,3,1,14.9,4.5,67.05
DANA,2,DANA#2,F,Sa,5,F-Sa-5,DANA-F-Sa-5,DANA,416,TR-HS-CA,TR,Home,Intermediate,Absent,A4,2021,1,109.8,0,154,4,1,21.2,4.7,99.64
DANA,2,DANA#2,B,Sa,4-B,B-Sa-4-B,DANA-B-Sa-4-B,DANA,419,TR-HS-CA,TR,Home,Intermediate,Absent,B2,2021,1,56.7,0,20,1,1,23.6,5.2,122.72
EAMO,4,EAMO#4,B,Sa,5-B,B-Sa-5-B,EAMO-B-Sa-5-B,EAMO,632,TR-HS-CA,TR,Home,Young,Absent,D1,2019,1,4.1,0,15,NA,0,5.3,2.7,14.31
EAMO,4,EAMO#4,H,Sa,2,H-Sa-2,EAMO-H-Sa-2,EAMO,633,TR-HS-CA,TR,Home,Young,Absent,D2,2019,1,54.1,0,65,NA,0,12.3,4.2,51.66
EAMO,1,EAMO#1,D,Sa,3,D-Sa-3,EAMO-D-Sa-3,EAMO,738,BL-HS-CP,BL,Home,Young,Present,A1,2019,1,48.6,0,23,NA,0,14.1,5.1,71.91
EAMO,2,EAMO#2,D,Sa,2,D-Sa-2,EAMO-D-Sa-2,EAMO,835,BR-HS-CP,BR,Home,Young,Present,B3,2019,1,47.4,0,19,NA,0,8.9,3.6,32.04
EAMO,2,EAMO#2,A,Sa,5,A-Sa-5,EAMO-A-Sa-5,EAMO,837,BR-HS-CP,BR,Home,Young,Present,B5,2019,1,55.4,0,53,NA,1,9.8,3.8,37.24
EAMO,3,EAMO#3,A,Sa,2-B,A-Sa-2-B,EAMO-A-Sa-2-B,EAMO,499,TL-HS-CA,TL,Home,Young,Absent,B2,2020,1,65.3,0,20,1,3,14.2,4.5,63.9
EAMO,3,EAMO#3,B,Sa,3,B-Sa-3,EAMO-B-Sa-3,EAMO,501,TL-HS-CA,TL,Home,Young,Absent,B4,2020,1,75.4,0,28,3,2,26.6,6.3,167.58
EAMO,3,EAMO#3,A,Sa,4-B,A-Sa-4-B,EAMO-A-Sa-4-B,EAMO,517,TR-HS-CP,TR,Home,Young,Present,B1,2020,1,54.8,0,23,1,1,22.4,6.3,141.12
EAMO,3,EAMO#3,B,Sa,1-B,B-Sa-1-B,EAMO-B-Sa-1-B,EAMO,518,TR-HS-CP,TR,Home,Young,Present,B2,2020,1,77.2,0,41,1,1,17,5.5,93.5
EAMO,4,EAMO#4,B,Sa,1,B-Sa-1,EAMO-B-Sa-1,EAMO,607,TL-HS-CP,TL,Home,Young,Present,B2,2020,1,72.1,0,30,1,2,19.9,6,119.4
EAMO,4,EAMO#4,B,Sa,5,B-Sa-5,EAMO-B-Sa-5,EAMO,609,TL-HS-CP,TL,Home,Young,Present,B5,2020,1,44.6,0,32,1,1,16.1,3.8,61.18
EAMO,4,EAMO#4,A,Sa,4,A-Sa-4,EAMO-A-Sa-4,EAMO,625,TR-HS-CA,TR,Home,Young,Absent,B4,2020,1,77.1,0,56,1,1,21.4,6.2,132.68
